3,78,0078-1-01,0078-9-50,山鹿郵便局分　〒861-05,450
3,79,0079-1-01,0079-9-50,山鹿郵便局分　〒861-05,450
3,80,0080-1-01,0080-9-50,山鹿郵便局分　〒861-05,450
3,81,0081-1-01,0081-9-50,山鹿郵便局分　〒861-05,450
3,82,0082-1-01,0082-9-50,山鹿郵便局分　〒861-05,450
3,83,0083-1-01,0083-9-50,山鹿郵便局分　〒861-05,450
3,84,0084-1-01,0084-4-13,山鹿郵便局分　〒861-05,163
4,85,0085-1-01,0085-9-50,鹿本郵便局分　〒861-06,450
4,86,0086-1-01,0086-9-50,鹿本郵便局分　〒861-06,450
4,87,0087-1-01,0087-9-50,鹿本郵便局分　〒861-06,450
4,88,0088-1-01,0088-9-50,鹿本郵便局分　〒861-06,450
4,89,0089-1-01,0089-9-50,鹿本郵便局分　〒861-06,450
4,90,0090-1-01,0090-9-50,鹿本郵便局分　〒861-06,450
4,91,0091-1-01,0091-3-29,鹿本郵便局分　〒861-06,129
