得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,240430,7998336,240401,66635010466,     ,1,    1,    0,     5,     370,       0,    50,       0, ,2,福岡県福岡市,2,福岡南営業所,0925417055,                ,40134018,0113,0925417055,0000010
0964323132,      ,240430,7998336,240402,66635010470,     ,1,    2,    0,   227,    3600,       0,     0,       0, ,2,福岡県古賀市,2,福岡中央　　,0929416748,                ,40223001,0113,0929416748,0000140
0964323132,      ,240430,7998336,240403,66635010481,     ,1,    1,    0,   335,    4800,       0,     0,       0, ,2,福岡県筑紫野,2,大野城営業所,0929232101,                ,40217027,0104,0929232101,0000200
0964323132,      ,240430,7998336,240404,66635010492,     ,1,    1,    0,   200,    3100,       0,     0,       0, ,2,福岡県大野城,2,大野城営業所,0925801868,                ,40219001,0104,0925801868,0000110
0964323132,      ,240430,7998336,240405,66635010503,     ,1,    4,    0,    45,    1400,       0,     0,       0, ,2,福岡県春日市,2,大野城営業所,0925932002,                ,40218026,0104,0925932002,0000040
0964323132,      ,240430,7998336,240405,66635010525,     ,1,    6,    0,   108,    1920,       0,     0,       0, ,2,熊本県玉名市,2,大牟田　　　,0968734854,                ,43206010,0049,0968734854,0000040
0964323132,      ,240430,7998336,240408,66691670054,     ,1,    1,    0,     1,     360,       0,     0,       0, ,2,熊本県熊本市,2,熊本支店　　,0963421081,                ,43105050,0001,0963421081,0000010
0964323132,      ,240430,7998336,240409,66635010536,     ,1,    1,    0,   138,    2200,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963436195,                ,43101026,0001,0963436195,0000050
0964323132,      ,240430,7998336,240409,66635010540,     ,1,    1,    0,   136,    2200,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963713611,                ,43101052,0001,0963713611,0000050
0964323132,      ,240430,7998336,240409,66635010551,     ,1,    1,    0,   126,    2200,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963544933,                ,43101037,0001,0963544933,0000050
0964323132,      ,240430,7998336,240409,66635010562,     ,1,    1,    0,   134,    2200,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963832105,                ,43101014,0001,0963832105,0000050
0964323132,      ,240430,7998336,240409,66635010573,     ,1,    5,    0,    95,    1600,       0,     0,       0, ,2,熊本市南区元,2,熊本支店　　,0963578800,                ,43104101,0001,0963578800,0000040
0964323132,      ,240430,7998336,240409,66635010584,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市東区東,2,熊本支店　　,0963683147,                ,43102060,0001,0963683147,0000010
0964323132,      ,240430,7998336,240409,66635010595,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市東区東,2,熊本支店　　,0963682135,                ,43102060,0001,0963682135,0000010
0964323132,      ,240430,7998336,240409,66635010606,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963725311,                ,43101003,0001,0963725311,0000010
0964323132,      ,240430,7998336,240409,66635010610,     ,1,    1,    0,    17,     360,       0,     0,       0, ,2,荒尾市荒尾２,2,大牟田　　　,0968630384,                ,43204001,0049,0968630384,0000010
0964323132,      ,240430,7998336,240409,66635010621,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,玉名市立願寺,2,大牟田　　　,0968732123,                ,43206049,0049,0968732123,0000010
0964323132,      ,240430,7998336,240409,66635010632,     ,1,    4,    0,    67,    1280,       0,     0,       0, ,2,玉名市岱明町,2,大牟田　　　,0968732215,                ,43206057,0049,0968732215,0000030
0964323132,      ,240430,7998336,240409,66635010643,     ,1,    2,    0,    35,     640,       0,     0,       0, ,2,山鹿市鹿本町,2,熊本東（営）,0968463191,                ,43208069,0001,0968463191,0000020
0964323132,      ,240430,7998336,240409,66635010654,     ,1,    4,    0,    29,    1280,       0,     0,       0, ,2,山鹿市鹿校通,2,熊本東（営）,0968445101,                ,43208038,0001,0968445101,0000010
0964323132,      ,240430,7998336,240409,66635010665,     ,1,    1,    0,    14,     360,       0,     0,       0, ,2,山鹿市鹿本町,2,熊本東（営）,0968463101,                ,43208058,0001,0968463101,0000010
0964323132,      ,240430,7998336,240409,66635010676,     ,1,    2,    0,    39,     640,       0,     0,       0, ,2,菊池市隈府１,2,熊本東（営）,0968253175,                ,43210034,0001,0968253175,0000020
0964323132,      ,240430,7998336,240409,66635010680,     ,1,    1,    0,    11,     360,       0,     0,       0, ,2,菊池市泗水町,2,熊本東（営）,0968382621,                ,43210052,0001,0968382621,0000010
0964323132,      ,240430,7998336,240409,66635010691,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,合志市合生４,2,熊本東（営）,0962420069,                ,43216001,0001,0962420069,0000010
0964323132,      ,240430,7998336,240409,66635010702,     ,1,    5,    0,    95,    1600,       0,     0,       0, ,2,菊池郡大津町,2,熊本東（営）,0962932055,                ,43403020,0001,0962932055,0000040
0964323132,      ,240430,7998336,240409,66635010713,     ,1,    2,    0,    36,     640,     780,     0,       0, ,2,阿蘇市一の宮,2,熊本東（営）,0967220070,                ,43214010,0001,0967220070,0000020
0964323132,      ,240430,7998336,240409,66635010724,     ,1,    1,    0,     2,     360,     590,     0,       0, ,2,阿蘇郡小国町,2,熊本東（営）,0967462425,                ,43424006,0001,0967462425,0000010
0964323132,      ,240430,7998336,240409,66635010735,     ,1,    2,    0,    24,     640,     720,     0,       0, ,2,阿蘇郡高森町,2,熊本東（営）,0967620185,                ,43428009,0001,0967620185,0000010
0964323132,      ,240430,7998336,240409,66635010746,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,上益城郡御船,2,熊本支店　　,0962820056,                ,43441003,0001,0962820056,0000010
0964323132,      ,240430,7998336,240409,66635010750,     ,1,    1,    0,     2,     360,     590,     0,       0, ,2,上益城郡山都,2,熊本東（営）,0967720024,                ,43447047,0001,0967720024,0000010
0964323132,      ,240430,7998336,240409,66635010761,     ,1,    2,    0,    22,     640,       0,     0,       0, ,2,宇城市松橋町,2,熊本支店　　,0964320511,                ,43213045,0001,0964320511,0000010
0964323132,      ,240430,7998336,240409,66635010772,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,宇城市松橋町,2,熊本支店　　,0964320729,                ,43213057,0001,0964320729,0000010
0964323132,      ,240430,7998336,240409,66635010783,     ,1,    5,    0,    83,    1600,       0,     0,       0, ,2,八代市永碇町,2,八代営業所　,0965334138,                ,43202081,0041,0965334138,0000040
0964323132,      ,240430,7998336,240409,66635010794,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,八代市鷹辻町,2,八代営業所　,0965331600,                ,43202068,0041,0965331600,0000010
0964323132,      ,240430,7998336,240409,66635010805,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,八代市渡町字,2,八代営業所　,0965355455,                ,43202149,0041,0965355455,0000010
0964323132,      ,240430,7998336,240409,66635010816,     ,1,    3,    0,    47,     960,       0,     0,       0, ,2,水俣市洗切町,2,出水営業所　,0966631285,                ,43205002,0107,0966631285,0000040
0964323132,      ,240430,7998336,240409,66635010820,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,人吉市北泉田,2,えびの営業所,0966222261,                ,43203026,0130,0966222261,0000010
0964323132,      ,240430,7998336,240409,66635010831,     ,1,    3,    0,    53,     960,       0,     0,       0, ,2,人吉市城本町,2,えびの営業所,0966224189,                ,43203044,0130,0966224189,0000040
0964323132,      ,240430,7998336,240409,66635010842,     ,1,    2,    0,    35,     640,       0,     0,       0, ,2,球磨郡錦町西,2,えびの営業所,0966382052,                ,43501054,0130,0966382052,0000030
0964323132,      ,240430,7998336,240409,66635010853,     ,1,    4,    0,    64,    1280,       0,     0,       0, ,2,天草市亀場町,2,熊本支店　　,0969232330,                ,43215029,0106,0969232330,0000050
0964323132,      ,240430,7998336,240409,66635010864,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963430236,                ,43101066,0001,0963430236,0000010
0964323132,      ,240430,7998336,240409,66635010875,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市西区島,2,熊本支店　　,0963557261,                ,43103021,0001,0963557261,0000010
0964323132,      ,240430,7998336,240409,66635010886,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963646134,                ,43101008,0001,0963646134,0000010
