得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,250331,8014797,250305,66680183006,     ,1,    1,    0,    90,    2070,       0,    50,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929435500,                ,40223004,0113,0929435500,0000060
0964323132,      ,250331,8014797,250305,66680183010,     ,1,    1,    0,   230,    6400,       0,   300,       0, ,2,岡山県岡山市,2,岡山東支店　,0862753111,                ,33102006,0541,0862753111,0000370
0964323132,      ,250331,8014797,250306,66680183021,     ,1,    3,    0,  1380,   17910,       0,   600,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929435500,                ,40223004,0113,0929435500,0000770
0964323132,      ,250331,8014797,250306,66680183032,     ,1,    2,    0,  1010,   14760,       0,   400,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929435500,                ,40223004,0113,0929435500,0000610
0964323132,      ,250331,8014797,250307,66680183054,     ,1,    3,    0,  1166,   15800,       0,   600,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929435500,                ,40223004,0113,0929435500,0000660
0964323132,      ,250331,8014797,250307,66680183065,     ,1,    2,    0,   777,   11100,       0,   400,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929435500,                ,40223004,0113,0929435500,0000440
0964323132,      ,250331,8014797,250310,66680183076,     ,1,    2,    0,   497,    7050,       0,   400,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929435500,                ,40223004,0113,0929435500,0000280
0964323132,      ,250331,8014797,250310,66680183080,     ,1,    1,    0,   490,    7050,       0,   200,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929435500,                ,40223004,0113,0929435500,0000280
0964323132,      ,250331,8014797,250312,66680183091,     ,1,    1,    0,     3,     380,       0,     0,       0, ,2,熊本県菊池市,2,熊本東（営）,0968251760,                ,43210022,0001,0968251760,0000010
0964323132,      ,250331,8014797,250312,66680183102,     ,1,    1,    0,     9,     380,       0,     0,       0, ,2,熊本県荒尾市,2,大牟田　　　,0968632585,                ,43204001,0049,0968632585,0000010
0964323132,      ,250331,8014797,250312,66680183113,     ,1,    1,    0,    12,     380,       0,     0,       0, ,2,熊本県熊本市,2,熊本東（営）,0962747474,                ,43105044,0001,0962747474,0000010
0964323132,      ,250331,8014797,250312,66680183124,     ,1,    1,    0,     4,     380,       0,     0,       0, ,2,熊本市東区東,2,熊本支店　　,0962435510,                ,43102058,0001,0962435510,0000010
0964323132,      ,250331,8014797,250312,66680183135,     ,1,    1,    0,     8,     380,       0,     0,       0, ,2,熊本県熊本市,2,熊本東（営）,0963380611,                ,43105092,0001,0963380611,0000010
0964323132,      ,250331,8014797,250312,66680183146,     ,1,    1,    0,     9,     380,       0,     0,       0, ,2,熊本県菊池郡,2,熊本東（営）,0962346787,                ,43403020,0001,0962346787,0000010
0964323132,      ,250331,8014797,250312,66680183150,     ,1,    1,    0,     6,     380,       0,     0,       0, ,2,熊本県上益城,2,熊本支店　　,0962374912,                ,43442009,0001,0962374912,0000010
0964323132,      ,250331,8014797,250312,66680183161,     ,1,    1,    0,     9,     380,       0,     0,       0, ,2,熊本県玉名市,2,大牟田　　　,0968735969,                ,43206016,0049,0968735969,0000010
