得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,230430,7980013,230405,66610994214,     ,1,    1,    0,   385,    5400,       0,     0,       0, ,2,福岡県福岡市,2,福岡支店　　,0922720120,                ,40132051,0113,0922720120,0000190
0964323132,      ,230430,7980013,230405,66610994225,     ,1,    1,    0,     8,     370,       0,    50,       0, ,2,福岡県福岡市,2,福岡南営業所,0925417055,                ,40134018,0113,0925417055,0000010
0964323132,      ,230430,7980013,230407,48301517121,     ,1,    1,    0,   400,    5400,       0,     0,       0, ,2,古賀市　　　,2,福岡箱崎営業,          ,                ,40223001,0113,          ,0000190
0964323132,      ,230430,7980013,230410,66610994236,     ,1,    1,    0,    50,    2900,       0,    50,       0, ,2,東京都板橋区,2,東京北支店　,0359650021,                ,13119053,1285,0359650021,0000160
0964323132,      ,230430,7980013,230410,66610994240,     ,1,    4,    0,    40,    1400,       0,     0,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929416748,                ,40223001,0113,0929416748,0000020
0964323132,      ,230430,7980013,230411,47945894065,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,人吉市　　　,2,えびの営業所,0966223415,                ,43203999,0130,          ,0000010
0964323132,      ,230430,7980013,230411,66610994310,     ,1,    2,    0,   535,    7200,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0000260
0964323132,      ,230430,7980013,230412,66610994321,     ,1,    1,    0,   140,    2200,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963436195,                ,43101026,0001,0963436195,0000040
0964323132,      ,230430,7980013,230412,66610994343,     ,1,    1,    0,   125,    2200,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963544933,                ,43101037,0001,0963544933,0000040
0964323132,      ,230430,7980013,230412,66610994354,     ,1,    1,    0,   137,    2200,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963832105,                ,43101014,0001,0963832105,0000040
0964323132,      ,230430,7980013,230412,66610994365,     ,1,    1,    0,    98,    1800,       0,     0,       0, ,2,熊本市南区元,2,熊本支店　　,0963578800,                ,43104101,0001,0963578800,0000030
0964323132,      ,230430,7980013,230412,66610994376,     ,1,    1,    0,   116,    2000,       0,     0,       0, ,2,熊本市西区城,2,熊本支店　　,0963293711,                ,43103022,0001,0963293711,0000040
0964323132,      ,230430,7980013,230412,66610994380,     ,1,    1,    0,    14,     360,       0,     0,       0, ,2,荒尾市荒尾２,2,大牟田　　　,0968630384,                ,43204001,0049,0968630384,0000010
0964323132,      ,230430,7980013,230412,66610994391,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,玉名市立願寺,2,大牟田　　　,0968732123,                ,43206049,0049,0968732123,0000010
0964323132,      ,230430,7980013,230412,66610994402,     ,1,    5,    0,    81,    1600,       0,     0,       0, ,2,玉名市岱明町,2,大牟田　　　,0968732215,                ,43206057,0049,0968732215,0000030
0964323132,      ,230430,7980013,230412,66610994413,     ,1,    2,    0,    33,     640,       0,     0,       0, ,2,山鹿市鹿本町,2,熊本東（営）,0968463191,                ,43208069,0001,0968463191,0000020
0964323132,      ,230430,7980013,230412,66610994424,     ,1,    3,    0,    56,     960,       0,     0,       0, ,2,山鹿市鹿校通,2,熊本東（営）,0968445101,                ,43208038,0001,0968445101,0000020
0964323132,      ,230430,7980013,230412,66610994435,     ,1,    2,    0,    21,     640,       0,     0,       0, ,2,山鹿市鹿本町,2,熊本東（営）,0968463101,                ,43208058,0001,0968463101,0000010
0964323132,      ,230430,7980013,230412,66610994446,     ,1,    3,    0,    45,     960,       0,     0,       0, ,2,菊池市隅府１,2,熊本東（営）,0968253175,                ,43210999,0001,0968253175,0000020
0964323132,      ,230430,7980013,230412,66610994450,     ,1,    3,    0,    40,     960,     720,     0,       0, ,2,阿蘇市一の宮,2,熊本東（営）,0967220070,                ,43214010,0001,0967220070,0000020
0964323132,      ,230430,7980013,230412,66610994461,     ,1,    1,    0,     2,     360,     520,     0,       0, ,2,阿蘇郡小国町,2,熊本東（営）,0967462425,                ,43424006,0001,0967462425,0000010
0964323132,      ,230430,7980013,230412,66610994472,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,上益城郡御船,2,熊本支店　　,0962820056,                ,43441003,0001,0962820056,0000010
0964323132,      ,230430,7980013,230412,66610994483,     ,1,    2,    0,    27,     640,       0,     0,       0, ,2,宇城市松橋町,2,熊本支店　　,0964320511,                ,43213045,0001,0964320511,0000010
0964323132,      ,230430,7980013,230412,66610994494,     ,1,    4,    0,    62,    1280,       0,     0,       0, ,2,八代市大福寺,2,八代営業所　,0965332663,                ,43202075,0041,0965332663,0000030
0964323132,      ,230430,7980013,230412,66610994505,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,八代市鷹辻町,2,八代営業所　,0965331600,                ,43202068,0041,0965331600,0000010
0964323132,      ,230430,7980013,230412,66610994520,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,八代市　　　,2,八代営業所　,0965672012,                ,43202151,0041,          ,0000000
