得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,231231,7992286,231201,66350090516,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県菊池郡,2,熊本東（営）,0963405839,                ,43404005,0001,0963405839,0000010
0964323132,      ,231231,7992286,231201,66350090531,     ,1,    1,    0,     6,     360,       0,     0,       0, ,2,荒尾市川登１,2,大牟田　　　,0968659811,                ,43204011,0049,0968659811,0000010
0964323132,      ,231231,7992286,231201,66350090542,     ,1,    1,    0,    15,     360,       0,     0,       0, ,2,玉名市立願寺,2,大牟田　　　,0968727800,                ,43206049,0049,0968727800,0000010
0964323132,      ,231231,7992286,231201,66350090553,     ,1,    1,    0,    16,     360,       0,     0,       0, ,2,山鹿市字久原,2,熊本東（営）,0968369937,                ,43208999,0001,0968369937,0000010
0964323132,      ,231231,7992286,231201,66350090564,     ,1,    1,    0,    13,     360,       0,     0,       0, ,2,菊池郡菊陽町,2,熊本東（営）,0962335000,                ,43404003,0001,0962335000,0000010
0964323132,      ,231231,7992286,231201,66350090575,     ,1,    1,    0,    18,     360,       0,     0,       0, ,2,熊本市東区長,2,熊本東（営）,0963881151,                ,43102050,0001,0963881151,0000010
0964323132,      ,231231,7992286,231201,66350090586,     ,1,    1,    0,    11,     360,       0,     0,       0, ,2,熊本市南区島,2,熊本支店　　,0963203350,                ,43104019,0001,0963203350,0000010
0964323132,      ,231231,7992286,231201,66350090590,     ,1,    1,    0,    19,     360,       0,     0,       0, ,2,天草市本渡町,2,熊本支店　　,0969669145,                ,43215082,0106,0969669145,0000010
0964323132,      ,231231,7992286,231201,66350090601,     ,1,    1,    0,    10,     360,       0,     0,       0, ,2,八代市本町４,2,八代営業所　,0965333616,                ,43202126,0041,0965333616,0000010
0964323132,      ,231231,7992286,231201,66350090612,     ,1,    1,    0,    19,     360,       0,     0,       0, ,2,水俣市栄町２,2,出水営業所　,0966620579,                ,43205020,0107,0966620579,0000010
0964323132,      ,231231,7992286,231204,66350090634,     ,1,    1,    0,    56,    2000,       0,   100,       0, ,2,鳥取県米子市,2,米子支店　　,0859232800,                ,31202011,0532,0859232800,0000080
0964323132,      ,231231,7992286,231207,66350090645,     ,1,    1,    0,   470,    5400,    2930,     0,       0, ,2,熊本県阿蘇郡,2,熊本東（営）,0967341668,                ,43433008,0001,0967341668,0000140
0964323132,      ,231231,7992286,231211,66350090656,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市南区富,2,熊本支店　　,0962859790,                ,43104074,0001,0962859790,0000010
0964323132,      ,231231,7992286,231211,66350090660,     ,1,    1,    0,    20,     360,       0,     0,       0, ,2,八代郡氷川町,2,八代営業所　,0965525717,                ,43468009,0041,0965525717,0000010
0964323132,      ,231231,7992286,231211,66350090671,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本県八代市,2,八代営業所　,0908661962,                ,43202120,0041,0908661962,0000010
0964323132,      ,231231,7992286,231211,66350090682,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,宇土市高柳町,2,熊本支店　　,0964310050,                ,43211036,0001,0964310050,0000010
0964323132,      ,231231,7992286,231211,66350090693,     ,1,    1,    0,     2,     600,       0,     0,       0, ,2,京都市左京区,2,京都支店　　,0757237410,                ,26103425,0762,0757237410,0000020
0964323132,      ,231231,7992286,231211,66350090704,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,宇城市松橋町,2,熊本支店　　,0906778880,                ,43213055,0001,0906778880,0000010
0964323132,      ,231231,7992286,231211,66350090715,     ,1,    1,    0,    12,     360,       0,     0,       0, ,2,熊本県熊本市,2,熊本支店　　,0963874416,                ,43101015,0001,0963874416,0000010
0964323132,      ,231231,7992286,231211,66350090726,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市北区八,2,熊本支店　　,0902967531,                ,43105087,0001,0902967531,0000010
0964323132,      ,231231,7992286,231211,66350090730,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市東区東,2,熊本支店　　,0909405552,                ,43102060,0001,0909405552,0000010
0964323132,      ,231231,7992286,231214,66350090741,     ,1,    1,    0,     1,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968431145,                ,43208029,0001,0968431145,0000010
0964323132,      ,231231,7992286,231214,66350090752,     ,1,    1,    0,     1,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968362151,                ,43208040,0001,0968362151,0000010
0964323132,      ,231231,7992286,231214,66350090763,     ,1,    1,    0,     1,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968324111,                ,43208051,0001,0968324111,0000010
0964323132,      ,231231,7992286,231214,66350090774,     ,1,    1,    0,     1,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968440577,                ,43208037,0001,0968440577,0000010
0964323132,      ,231231,7992286,231214,66350090785,     ,1,    1,    0,     1,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968433100,                ,43208078,0001,0968433100,0000010
0964323132,      ,231231,7992286,231214,66350090796,     ,1,    1,    0,     1,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968363838,                ,43208040,0001,0968363838,0000010
