得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,230630,7983042,230605,66732998592,     ,1,    1,    0,    85,    2000,       0,   100,       0, ,2,福岡県福岡市,2,福岡南営業所,0925417055,                ,40134018,0113,0925417055,0000050
0964323132,      ,230630,7983042,230606,66732998603,     ,1,    2,    0,   468,    6600,       0,     0,       0, ,2,福岡県福岡市,2,福岡支店　　,0927817550,                ,40133027,0113,0927817550,0000230
0964323132,      ,230630,7983042,230607,66732998625,     ,1,    3,    0,  2197,   24100,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0001010
0964323132,      ,230630,7983042,230607,66732998636,     ,1,    1,    0,    29,     370,       0,    50,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929435500,                ,40223004,0113,0929435500,0000020
0964323132,      ,230630,7983042,230607,66732998640,     ,1,    1,    0,   395,    9300,       0,   200,       0, ,2,岡山県岡山市,2,岡山東支店　,0862753111,                ,33102006,0541,0862753111,0000490
0964323132,      ,230630,7983042,230608,66732998651,     ,1,    1,    0,   332,    4000,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963282290,                ,43101067,0001,0963282290,0000100
0964323132,      ,230630,7983042,230608,66732998662,     ,1,    6,    0,    64,    1920,       0,     0,       0, ,2,八代市松江城,2,八代営業所　,0965334490,                ,43202127,0041,0965334490,0000030
0964323132,      ,230630,7983042,230608,66732998673,     ,1,    2,    0,    21,     640,       0,     0,       0, ,2,人吉市西間下,2,えびの営業所,0966222111,                ,43203061,0130,0966222111,0000020
0964323132,      ,230630,7983042,230608,66732998684,     ,1,    4,    0,    42,    1280,       0,     0,       0, ,2,熊本県荒尾市,2,大牟田　　　,0968631420,                ,43204013,0049,0968631420,0000020
0964323132,      ,230630,7983042,230608,66732998695,     ,1,    3,    0,    27,     960,       0,     0,       0, ,2,水俣市陣内１,2,出水営業所　,0966611633,                ,43205062,0107,0966611633,0000020
