得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,230831,7986062,230731,66161295642,     ,1,    0,    0,     0,       0,     280,     0,       0, ,1,            ,2,福岡支店　　,          ,                ,        ,0000,          ,0000000
0964323132,      ,230831,7986062,230731,66161295675,     ,1,    0,    0,     0,       0,     190,     0,       0, ,1,            ,2,熊本支店　　,          ,                ,        ,0000,          ,0000000
0964323132,      ,230831,7986062,230803,66163679061,     ,1,    1,    0,     2,     370,       0,     0,       0, ,2,佐賀県神埼郡,2,鳥　栖　　　,0952370350,                ,41327008,0080,0952370350,0000010
0964323132,      ,230831,7986062,230808,66163679072,     ,1,    2,    0,    22,     640,       0,     0,       0, ,2,八代市　　　,2,八代営業所　,0965336131,                ,43202999,0041,          ,0000010
0964323132,      ,230831,7986062,230808,66163679083,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,人吉市　　　,2,えびの営業所,0966222111,                ,43203037,0130,          ,0000010
0964323132,      ,230831,7986062,230808,66163679094,     ,1,    1,    0,     8,     360,       0,     0,       0, ,2,荒尾市　　　,2,大牟田　　　,0968631647,                ,43204   ,0049,          ,0000010
0964323132,      ,230831,7986062,230808,66163679105,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,水俣市　　　,2,出水営業所　,0966611638,                ,43205002,0107,          ,0000010
0964323132,      ,230831,7986062,230808,66163679116,     ,1,    1,    0,    12,     360,       0,     0,       0, ,2,玉名市　　　,2,大牟田　　　,0968751133,                ,43206008,0049,          ,0000010
0964323132,      ,230831,7986062,230808,66163679120,     ,1,    1,    0,    17,     360,       0,     0,       0, ,2,天草市　　　,2,熊本支店　　,0969248812,                ,43215074,0106,          ,0000020
0964323132,      ,230831,7986062,230808,66163679131,     ,1,    1,    0,     9,     360,       0,     0,       0, ,2,山鹿市　　　,2,熊本東（営）,0968431638,                ,43208037,0001,          ,0000010
0964323132,      ,230831,7986062,230808,66163679142,     ,1,    1,    0,     9,     360,       0,     0,       0, ,2,菊池市　　　,2,熊本東（営）,0968257230,                ,43210034,0001,          ,0000010
0964323132,      ,230831,7986062,230808,66163679153,     ,1,    1,    0,     6,     360,       0,     0,       0, ,2,宇土市　　　,2,熊本支店　　,0964226500,                ,43211026,0001,          ,0000010
0964323132,      ,230831,7986062,230808,66163679164,     ,1,    1,    0,    10,     360,       0,     0,       0, ,2,上天草市　　,2,熊本支店　　,0969561111,                ,43212008,0051,          ,0000010
