得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,240731,8002844,240702,66137643891,     ,1,    3,    0,  1336,   16400,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0000770
0964323132,      ,240731,8002844,240704,48919879363,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市北区　,2,熊本支店　　,0963421081,                ,43105050,0001,          ,0000010
0964323132,      ,240731,8002844,240704,66137643913,     ,1,    1,    0,    60,    1500,       0,     0,       0, ,2,福岡県古賀市,2,福岡箱崎営業,0929416748,                ,40223001,0113,0929416748,0000040
0964323132,      ,240731,8002844,240705,66137643902,     ,1,    1,    0,   270,    3500,       0,     0,       0, ,2,熊本県上益城,2,熊本東（営）,0962870500,                ,43443016,0001,0962870500,0000100
0964323132,      ,240731,8002844,240712,66189312210,     ,1,    1,    0,     2,     370,       0,     0,       0, ,2,福岡市中央区,2,福岡支店　　,0927232100,                ,40133027,0113,0927232100,0000010
0964323132,      ,240731,8002844,240712,66189312221,     ,1,    1,    0,     2,     370,       0,     0,       0, ,2,朝倉郡筑前町,2,甘木営業所　,0946422002,                ,40447013,0105,0946422002,0000010
0964323132,      ,240731,8002844,240712,66189312232,     ,1,    1,    0,     2,     370,       0,     0,       0, ,2,朝倉市宮野２,2,甘木営業所　,0946522772,                ,40228080,0105,0946522772,0000010
0964323132,      ,240731,8002844,240712,66189312243,     ,1,    1,    0,     2,     370,       0,     0,       0, ,2,大牟田市大字,2,大牟田　　　,0944543696,                ,40202039,0049,0944543696,0000010
0964323132,      ,240731,8002844,240712,66189312254,     ,1,    1,    0,     2,     370,       0,     0,       0, ,2,古賀市舞の里,2,福岡箱崎営業,0929440202,                ,40223023,0113,0929440202,0000010
0964323132,      ,240731,8002844,240712,66189312265,     ,1,    1,    0,     2,     370,       0,     0,       0, ,2,八女市星野村,2,久留米営業所,0943522277,                ,40210070,0065,0943522277,0000010
