得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,240630,8001348,240605,48553211431,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市北区　,2,熊本支店　　,0963421081,                ,43105050,0001,          ,0000010
0964323132,      ,240630,8001348,240605,66745204654,     ,1,    3,    0,  1229,   15400,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0000720
0964323132,      ,240630,8001348,240606,66745204665,     ,1,    1,    0,   198,    3100,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925411527,                ,40134024,0113,0925411527,0000110
0964323132,      ,240630,8001348,240610,66120936000,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,熊本市東区水,2,熊本支店　　,0963692007,                ,43102041,0001,0963692007,0000010
0964323132,      ,240630,8001348,240610,66120936011,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,熊本市西区小,2,熊本支店　　,0963290912,                ,43103005,0001,0963290912,0000010
0964323132,      ,240630,8001348,240610,66120936022,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,熊本市北区龍,2,熊本東（営）,0963381377,                ,43105074,0001,0963381377,0000010
0964323132,      ,240630,8001348,240610,66120936033,     ,1,    1,    0,    10,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963825102,                ,43101011,0001,0963825102,0000010
0964323132,      ,240630,8001348,240610,66120936044,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,熊本市西区中,2,熊本支店　　,0963297120,                ,43103037,0001,0963297120,0000010
0964323132,      ,240630,8001348,240610,66120936055,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963666216,                ,43101060,0001,0963666216,0000010
0964323132,      ,240630,8001348,240610,66120936066,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,熊本市東区若,2,熊本支店　　,0963682750,                ,43102070,0001,0963682750,0000010
0964323132,      ,240630,8001348,240610,66120936070,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市北区清,2,熊本支店　　,0963448521,                ,43105063,0001,0963448521,0000010
0964323132,      ,240630,8001348,240610,66120936081,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,熊本市東区尾,2,熊本支店　　,0963810165,                ,43102016,0001,0963810165,0000010
0964323132,      ,240630,8001348,240610,66120936092,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,熊本市東区新,2,熊本東（営）,0963823461,                ,43102039,0001,0963823461,0000010
0964323132,      ,240630,8001348,240610,66120936103,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,熊本市北区高,2,熊本支店　　,0963253257,                ,43105073,0001,0963253257,0000010
0964323132,      ,240630,8001348,240610,66120936114,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市北区楠,2,熊本東（営）,0963387780,                ,43105056,0001,0963387780,0000010
0964323132,      ,240630,8001348,240610,66120936125,     ,1,    1,    0,    13,     360,       0,     0,       0, ,2,熊本市東区戸,2,熊本東（営）,0963802156,                ,43102043,0001,0963802156,0000010
0964323132,      ,240630,8001348,240610,66120936136,     ,1,    1,    0,     9,     360,       0,     0,       0, ,2,熊本市東区御,2,熊本東（営）,0963802123,                ,43102030,0001,0963802123,0000010
0964323132,      ,240630,8001348,240610,66120936140,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,熊本市東区上,2,熊本東（営）,0963802004,                ,43102022,0001,0963802004,0000010
0964323132,      ,240630,8001348,240610,66120936151,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,熊本市東区花,2,熊本支店　　,0963686095,                ,43102056,0001,0963686095,0000010
0964323132,      ,240630,8001348,240610,66120936162,     ,1,    1,    0,     7,     360,       0,     0,       0, ,2,熊本市東区東,2,熊本支店　　,0963670357,                ,43102060,0001,0963670357,0000010
0964323132,      ,240630,8001348,240610,66120936173,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市北区麻,2,熊本支店　　,0963380349,                ,43105001,0001,0963380349,0000010
0964323132,      ,240630,8001348,240610,66120936184,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市北区武,2,熊本東（営）,0963393393,                ,43105092,0001,0963393393,0000010
0964323132,      ,240630,8001348,240610,66120936195,     ,1,    1,    0,     6,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963817755,                ,43101011,0001,0963817755,0000010
0964323132,      ,240630,8001348,240610,66120936206,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,熊本市東区月,2,熊本支店　　,0963825747,                ,43102042,0001,0963825747,0000010
0964323132,      ,240630,8001348,240610,66120936210,     ,1,    1,    0,     8,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963635671,                ,43101003,0001,0963635671,0000010
0964323132,      ,240630,8001348,240610,66120936221,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,熊本市東区東,2,熊本支店　　,0963678117,                ,43102060,0001,0963678117,0000010
0964323132,      ,240630,8001348,240610,66120936232,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,熊本市南区南,2,熊本支店　　,0963582380,                ,43104092,0001,0963582380,0000010
0964323132,      ,240630,8001348,240610,66120936243,     ,1,    1,    0,     8,     360,       0,     0,       0, ,2,熊本市南区田,2,熊本支店　　,0963786405,                ,43104048,0001,0963786405,0000010
0964323132,      ,240630,8001348,240610,66120936254,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市北区弓,2,熊本東（営）,0963389390,                ,43105099,0001,0963389390,0000010
0964323132,      ,240630,8001348,240610,66120936265,     ,1,    1,    0,    10,     360,       0,     0,       0, ,2,熊本市東区長,2,熊本東（営）,0963890850,                ,43102050,0001,0963890850,0000010
0964323132,      ,240630,8001348,240610,66120936276,     ,1,    1,    0,     6,     360,       0,     0,       0, ,2,熊本市東区山,2,熊本支店　　,0963670800,                ,43102066,0001,0963670800,0000010
0964323132,      ,240630,8001348,240610,66120936280,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,熊本市北区楡,2,熊本東（営）,0963395103,                ,43105085,0001,0963395103,0000010
0964323132,      ,240630,8001348,240610,66120936291,     ,1,    1,    0,     6,     360,       0,     0,       0, ,2,熊本市北区西,2,熊本支店　　,0962450018,                ,43105084,0001,0962450018,0000010
0964323132,      ,240630,8001348,240610,66120936302,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市北区下,2,熊本支店　　,0962450004,                ,43105071,0001,0962450004,0000010
0964323132,      ,240630,8001348,240610,66120936313,     ,1,    1,    0,     9,     360,       0,     0,       0, ,2,熊本市北区鶴,2,熊本支店　　,0963445630,                ,43105080,0001,0963445630,0000010
0964323132,      ,240630,8001348,240610,66120936324,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市西区河,2,熊本支店　　,0962772006,                ,43103018,0001,0962772006,0000010
0964323132,      ,240630,8001348,240610,66120936335,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市西区河,2,熊本支店　　,0962760031,                ,43103019,0001,0962760031,0000010
