得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,231031,7989155,231002,66281971464,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963827033,                ,43101027,0001,0963827033,0000010
0964323132,      ,231031,7989155,231002,66281971475,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市東区尾,2,熊本支店　　,0963810165,                ,43102016,0001,0963810165,0000010
0964323132,      ,231031,7989155,231002,66281971486,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市北区高,2,熊本支店　　,0963253257,                ,43105073,0001,0963253257,0000010
0964323132,      ,231031,7989155,231002,66281971490,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市南区城,2,熊本支店　　,0964282044,                ,43104035,0001,0964282044,0000010
0964323132,      ,231031,7989155,231002,66281971501,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963250259,                ,43101101,0001,0963250259,0000010
0964323132,      ,231031,7989155,231002,66281971512,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市北区清,2,熊本支店　　,0963452753,                ,43105063,0001,0963452753,0000010
0964323132,      ,231031,7989155,231002,66281971523,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市南区孫,2,熊本支店　　,0962270004,                ,43104089,0001,0962270004,0000010
0964323132,      ,231031,7989155,231002,66281971534,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市南区城,2,熊本支店　　,0964282006,                ,43104041,0001,          ,0000010
0964323132,      ,231031,7989155,231002,66281971545,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,宇土市築籠町,2,熊本支店　　,0964233013,                ,43211999,0001,0964233013,0000010
0964323132,      ,231031,7989155,231002,66281971556,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,宇城市小川町,2,熊本支店　　,0964430109,                ,43213010,0001,0964430109,0000010
0964323132,      ,231031,7989155,231002,66281971560,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,宇土市新小路,2,熊本支店　　,0964220140,                ,43211026,0001,0964220140,0000010
0964323132,      ,231031,7989155,231002,66281971571,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,宇土市笹原町,2,熊本支店　　,0964220346,                ,43211022,0001,0964220346,0000010
0964323132,      ,231031,7989155,231002,66281971582,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,玉名市岱明町,2,大牟田　　　,0968570404,                ,43206060,0049,0968570404,0000010
0964323132,      ,231031,7989155,231002,66281971593,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,玉名郡南関町,2,大牟田　　　,0968530009,                ,43367013,0049,0968530009,0000010
0964323132,      ,231031,7989155,231002,66281971604,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,玉名郡南関町,2,大牟田　　　,0968530005,                ,43367008,0049,0968530005,0000010
0964323132,      ,231031,7989155,231002,66281971615,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,玉名市伊倉北,2,大牟田　　　,0968733171,                ,43206005,0049,0968733171,0000010
0964323132,      ,231031,7989155,231002,66281971626,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968482016,                ,43208079,0001,0968482016,0000010
0964323132,      ,231031,7989155,231002,66281971630,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968462067,                ,43208069,0001,0968462067,0000010
0964323132,      ,231031,7989155,231002,66281971641,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968431185,                ,43208037,0001,0968431185,0000010
0964323132,      ,231031,7989155,231002,66281971652,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県山鹿市,2,熊本東（営）,0968322019,                ,43208053,0001,0968322019,0000010
0964323132,      ,231031,7989155,231002,66281971663,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県合志市,2,熊本東（営）,0962456638,                ,43216004,0001,0962456638,0000010
0964323132,      ,231031,7989155,231002,66281971674,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県菊池郡,2,熊本東（営）,0962321745,                ,43404005,0001,0962321745,0000010
0964323132,      ,231031,7989155,231002,66281971685,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県合志市,2,熊本東（営）,0962420100,                ,43216008,0001,0962420100,0000010
0964323132,      ,231031,7989155,231002,66281971696,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県菊池郡,2,熊本東（営）,0962942310,                ,43403002,0001,0962942310,0000010
0964323132,      ,231031,7989155,231002,66281971700,     ,1,    1,    0,     2,     360,     520,     0,       0, ,2,南阿蘇村河陰,2,熊本東（営）,0967670232,                ,43433999,0001,0967670232,0000010
0964323132,      ,231031,7989155,231002,66281971711,     ,1,    1,    0,     2,     360,     520,     0,       0, ,2,小国町宮原１,2,熊本東（営）,0967462063,                ,43424999,0001,0967462063,0000010
0964323132,      ,231031,7989155,231002,66281971722,     ,1,    1,    0,     2,     360,     520,     0,       0, ,2,南小国町赤馬,2,熊本東（営）,0967420034,                ,43423999,0001,0967420034,0000010
0964323132,      ,231031,7989155,231002,66281971733,     ,1,    1,    0,     2,     360,     520,     0,       0, ,2,阿蘇市一の宮,2,熊本東（営）,0967220201,                ,43214010,0001,0967220201,0000010
0964323132,      ,231031,7989155,231002,66281971744,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,上益城郡御船,2,熊本支店　　,0962820076,                ,43441003,0001,0962820076,0000010
0964323132,      ,231031,7989155,231002,66281971755,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,上益城郡嘉島,2,熊本支店　　,0962370013,                ,43442003,0001,0962370013,0000010
0964323132,      ,231031,7989155,231002,66281971766,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,上益城郡御船,2,熊本支店　　,0962820002,                ,43441011,0001,0962820002,0000010
0964323132,      ,231031,7989155,231002,66281971770,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,上益城郡益城,2,熊本東（営）,0962862025,                ,43443011,0001,0962862025,0000010
0964323132,      ,231031,7989155,231002,66281971781,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,八代市鏡町両,2,八代営業所　,0965520349,                ,43202173,0041,0965520349,0000010
0964323132,      ,231031,7989155,231002,66281971792,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,八代郡氷川町,2,八代営業所　,0965622147,                ,43468003,0041,0965622147,0000010
0964323132,      ,231031,7989155,231002,66281971803,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,八代市上日置,2,八代営業所　,0965328139,                ,43202018,0041,0965328139,0000010
0964323132,      ,231031,7989155,231002,66281971814,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,八代市古閑上,2,八代営業所　,0965323255,                ,43202042,0041,0965323255,0000010
0964323132,      ,231031,7989155,231002,66281971825,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,葦北郡芦北町,2,出水営業所　,0966870015,                ,43482043,0107,0966870015,0000010
0964323132,      ,231031,7989155,231002,66281971836,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,水俣市袋１４,2,出水営業所　,0966634611,                ,43205050,0107,0966634611,0000010
0964323132,      ,231031,7989155,231002,66281971840,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,葦北郡芦北町,2,出水営業所　,0966822107,                ,43482027,0107,0966822107,0000010
0964323132,      ,231031,7989155,231002,66281971851,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,水俣市古城１,2,出水営業所　,0966632981,                ,43205017,0107,0966632981,0000010
0964323132,      ,231031,7989155,231002,66281971862,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県球磨郡,2,えびの営業所,0966450044,                ,43514014,0130,0966450044,0000010
0964323132,      ,231031,7989155,231002,66281971873,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県球磨郡,2,えびの営業所,0966225375,                ,43512002,0130,0966225375,0000010
0964323132,      ,231031,7989155,231002,66281971884,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県人吉市,2,えびの営業所,0966232295,                ,43203053,0130,0966232295,0000010
0964323132,      ,231031,7989155,231002,66281971895,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本県球磨郡,2,えびの営業所,0966350050,                ,43510002,0130,0966350050,0000010
