得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,250228,8013316,250203,66567098765,     ,1,    2,    0,   265,    3810,       0,   300,       0, ,2,福岡県大牟田,2,大牟田　　　,0944528646,                ,40202038,0049,0944528646,0000100
0964323132,      ,250228,8013316,250206,66567098776,     ,1,    1,    0,    39,    1410,       0,    50,       0, ,2,福岡県福岡市,2,福岡南営業所,0925417055,                ,40134018,0113,0925417055,0000030
0964323132,      ,250228,8013316,250207,66567098780,     ,1,    1,    0,   252,    3810,       0,   200,       0, ,2,熊本県熊本市,2,熊本東（営）,0962276590,                ,43105010,0001,0962276590,0000100
0964323132,      ,250228,8013316,250214,66567098802,     ,1,    1,    0,    40,    1370,       0,    80,       0, ,2,福岡県大牟田,2,大牟田　　　,0944528646,                ,40202038,0049,0944528646,0000020
0964323132,      ,250228,8013316,250215,66567098791,     ,1,    1,    0,   310,    5170,       0,     0,       0, ,2,福岡県大野城,2,大野城営業所,0925801889,                ,40219001,0104,0925801889,0000200
0964323132,      ,250228,8013316,250217,66567098813,     ,1,    3,    0,  1376,   17910,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0000770
0964323132,      ,250228,8013316,250217,66567098824,     ,1,    1,    0,    23,     390,       0,    50,       0, ,2,福岡県福岡市,2,福岡南営業所,0925417055,                ,40134018,0113,0925417055,0000020
0964323132,      ,250228,8013316,250217,66567098835,     ,1,    1,    0,   197,    3250,       0,     0,       0, ,2,福岡県大野城,2,大野城営業所,0925801868,                ,40219001,0104,0925801868,0000110
0964323132,      ,250228,8013316,250220,66567098846,     ,1,    1,    0,   273,    3810,       0,   100,       0, ,2,熊本県熊本市,2,熊本東（営）,0962276590,                ,43105010,0001,0962276590,0000100
0964323132,      ,250228,8013316,250225,66567098850,     ,1,    1,    0,     5,     390,       0,     0,       0, ,2,佐賀県唐津市,2,唐津営業所　,0955515020,                ,41202150,0157,0955515020,0000010
0964323132,      ,250228,8013316,250225,66567098861,     ,1,    1,    0,     5,     390,       0,     0,       0, ,2,佐賀県小城市,2,佐賀支店　　,0952732519,                ,41208013,0116,0952732519,0000010
0964323132,      ,250228,8013316,250225,66567098872,     ,1,    1,    0,     3,     390,       0,     0,       0, ,2,長崎県西彼杵,2,長崎支店　　,0958822705,                ,42308004,0195,0958822705,0000010
0964323132,      ,250228,8013316,250225,66567098883,     ,1,    1,    0,     3,     390,       0,     0,       0, ,2,佐賀県唐津市,2,唐津営業所　,0955515020,                ,41202150,0157,0955515020,0000010
0964323132,      ,250228,8013316,250225,66567098894,     ,1,    1,    0,     5,     390,       0,     0,       0, ,2,佐賀県鹿島市,2,佐賀支店　　,0954629250,                ,41207007,0116,0954629250,0000010
0964323132,      ,250228,8013316,250225,66567098905,     ,1,    1,    0,     6,     390,       0,     0,       0, ,2,福岡市東区香,2,福岡箱崎営業,0926612654,                ,40131999,0113,0926612654,0000010
0964323132,      ,250228,8013316,250225,66567098916,     ,1,    1,    0,     5,     390,       0,     0,       0, ,2,佐賀県小城市,2,佐賀支店　　,0952660494,                ,41208004,0116,0952660494,0000010
0964323132,      ,250228,8013316,250225,66567098920,     ,1,    1,    0,     2,     390,       0,     0,       0, ,2,福岡県遠賀郡,2,北九州南　　,0932825886,                ,40383031,0141,0932825886,0000010
0964323132,      ,250228,8013316,250225,66567098931,     ,1,    1,    0,     3,     390,       0,     0,       0, ,2,佐賀県武雄市,2,佐賀支店　　,0954232067,                ,41206008,0116,0954232067,0000010
0964323132,      ,250228,8013316,250225,66567098942,     ,1,    1,    0,     3,     390,       0,     0,       0, ,2,長崎県佐世保,2,佐世保支店　,0956395381,                ,42202055,0175,0956395381,0000010
0964323132,      ,250228,8013316,250225,66567098953,     ,1,    1,    0,     3,     390,       0,     0,       0, ,2,福岡県筑後市,2,久留米営業所,0942541669,                ,40211010,0065,0942541669,0000010
0964323132,      ,250228,8013316,250225,66567098964,     ,1,    1,    0,     2,     530,       0,     0,       0, ,2,岡山県倉敷市,2,倉敷支店　　,0864447397,                ,33202102,0524,0864447397,0000020
0964323132,      ,250228,8013316,250225,66567098975,     ,1,    1,    0,     3,     390,       0,     0,       0, ,2,福岡県福津市,2,北九州南　　,0940522081,                ,40224003,0141,0940522081,0000010
0964323132,      ,250228,8013316,250226,66567098986,     ,1,    3,    0,  1190,   15800,       0,     0,       0, ,2,福岡県糟屋郡,2,大野城営業所,0929350164,                ,40344006,0104,0929350164,0000660
0964323132,      ,250228,8013316,250227,49272722030,     ,1,    1,    0,     2,     380,       0,     0,       0, ,2,熊本市北区　,2,熊本支店　　,0963421081,                ,43105050,0001,          ,0000010
0964323132,      ,250228,8013316,250227,66567098990,     ,1,    1,    0,    10,     390,       0,    50,       0, ,2,福岡県福岡市,2,福岡中央　　,0926217131,                ,40131018,0113,0926217131,0000010
0964323132,      ,250228,8013316,250228,49272722026,     ,1,    1,    0,     2,     380,       0,     0,       0, ,2,熊本市北区　,2,熊本支店　　,0963421081,                ,43105050,0001,          ,0000010
0964323132,      ,250228,8013316,250210,30896837425,     ,2,    1,    0,    10,     380,       0,     0,       0, ,2,熊本市東区　,2,熊本支店　　,          ,                ,        ,0000,          ,0000000
